Codigo	Armazem	Descricao
MGSES01085	01	SACO DE LIXO  PRETO  60LT
MGSES01085	07	SACO DE LIXO  PRETO  60LT
MGSES01116	01	SACO DE LIXO PRETO 40LT  SP
MGSES01116	07	SACO DE LIXO PRETO 40LT  SP
MPPEN00070	01	BAINHA PARA FACAO 18
MPPEN00161	01	BOTA DE COURO ELASTICO S/BIQUEIRA T46 - 31888 BRACOL
MPPEN00161	07	BOTA DE COURO ELASTICO S/BIQUEIRA T46 - 31888 BRACOL
MPPEN00263	01	CADEADO 35 MM
MPPEN00263	06	CADEADO 35 MM
MPPEN00263	10	CADEADO 35 MM
MPPEN00264	01	CADEADO 40 MM
MPPEN00264	07	CADEADO 40 MM
MPPEN00266	07	CADEADO 60 MM
MPPEN00452	01	CARRO FUNCIONAL AMERICA VERDE
MPPEN00452	07	CARRO FUNCIONAL AMERICA VERDE
MPPEN00546	01	CHAVE FENDA 1/4X10 POL.CABO ISOLADO
MPPEN00546	10	CHAVE FENDA 1/4X10 POL.CABO ISOLADO
MPPEN00591	01	CHAVE PHILLIPS 5/16X6 ISOLADA
MPPEN00591	06	CHAVE PHILLIPS 5/16X6 ISOLADA
MPPEN00591	10	CHAVE PHILLIPS 5/16X6 ISOLADA
MPPEN00627	01	COLA BASTAO 10GR
MPPEN00627	07	COLA BASTAO 10GR
MPPEN00776	01	ESCOVA SANITARIA BETTANIN
MPPEN00794	07	ESPONJA DUPLA FACE
MPPEN00798	01	ESTILETE
MPPEN00798	07	ESTILETE
MPPEN00843	01	FIO DE NYLON QUADRADO VERMELHO 3 MM - RL 2 KG
MPPEN00843	07	FIO DE NYLON QUADRADO VERMELHO 3 MM - RL 2 KG
MPPEN00851	01	FITA ISOLANTE
MPPEN00851	07	FITA ISOLANTE
MPPEN00907	01	GRAXA
MPPEN00907	07	GRAXA
MPPEN00938	01	INSETICIDA MALATHION
MPPEN00938	07	INSETICIDA MALATHION
MPPEN01008	07	LIXEIRA COM PEDAL E TAMPA 50 LT
MPPEN01146	01	PAPEL TOALHA FS INTERF 22CMX21CM C 4800FLS PREMIUM FLAMINGO
MPPEN01146	07	PAPEL TOALHA FS INTERF 22CMX21CM C 4800FLS PREMIUM FLAMINGO
MPPEN01163	01	PASTA L TRANSPARENTE
MPPEN01163	07	PASTA L TRANSPARENTE
MPPEN01255	01	PINCEL 1
MPPEN01255	07	PINCEL 1
MPPEN01291	07	PNEU COMPLETO  P/ CARRO PRANCHA
MPPEN01383	01	REGUA 30CM
MPPEN01383	07	REGUA 30CM
MPPEN01402	01	RODIZIO GIRATORIO
MPPEN01402	07	RODIZIO GIRATORIO
MPPEN01437	01	SABONETEIRA P/ SABONETE LIQUIDO  BRALLIMPIA
MPPEN01437	07	SABONETEIRA P/ SABONETE LIQUIDO  BRALLIMPIA
MPPEN01607	01	VASSOURA PIACAVA COMUM C/CABO
MPPEN01607	07	VASSOURA PIACAVA COMUM C/CABO
MPPEN01636	07	SACO PLASTICO A 4 4 FUROS C/ 50 REFORCADO
MPPEN01658	01	SACO DE LIXO 200L PRETO 90X100 100UN
MPPEN01658	07	SACO DE LIXO 200L PRETO 90X100 100UN
PDLEN00169	01	LIMPA PISO UHS
PDLEN00169	07	LIMPA PISO UHS
PDLEN00176	01	LIMPADOR GERAL MAX  5L (04846)
PDLEN00176	07	LIMPADOR GERAL MAX  5L (04846)
PDLEN00226	01	PANO DE CHAO 40X60 SAO CRISTOVAO
PDLEN00226	07	PANO DE CHAO 40X60 SAO CRISTOVAO
PDLEN00227	07	PANO MULTI USO AZUL NOBRE 5 UNID (00062)
PDLEN00264	01	ROLO ESPUMA 9CM
PDLEN00264	07	ROLO ESPUMA 9CM
PDLEN00368	07	SACO P/ LIXO 40L PRETO C/100 55 X 55 X 575 X 0,2 PDVN
PDLEN00630	01	LIMPADOR MULTI USO VEJA 500ML
PDLEN00630	07	LIMPADOR MULTI USO VEJA 500ML
PDLEN00754	01	SACO LIXO AZUL REFORC 40L
PDLEN00754	07	SACO LIXO AZUL REFORC 40L
PDLEN00815	01	DETERGENTE NEUTRO 5L VALENCA
PDLEN00815	07	DETERGENTE NEUTRO 5L VALENCA
PDLEN00832	01	SABONETE LIQUIDO 5 LT ERVA DOCE PREMISSE
PDLEN00832	07	SABONETE LIQUIDO 5 LT ERVA DOCE PREMISSE
PDLEN00964	07	MANGUEIRA SANTENO 100MTS
PDLEN01211	07	ROLO ESPUMA 15CM
PDLEN01219	01	SACO LIXO PRETO REFORC 60L
PDLEN01219	07	SACO LIXO PRETO REFORC 60L
PDLEN01228	01	ESPONJA ACO
PDLEN01228	07	ESPONJA ACO
PDLEN01314	01	VASSOURA SANITARIA NYLON C/ SUPORTE BETTANIN
PDLEN01314	07	VASSOURA SANITARIA NYLON C/ SUPORTE BETTANIN
PDLEN01424	01	MULTIUSO BACTERICIDA MULTILUX SOFT BB 5L (1009305)
PDLEN01424	07	MULTIUSO BACTERICIDA MULTILUX SOFT BB 5L (1009305)
PDLEN01460	01	CARRETEL NYLON
PDLEN01460	07	CARRETEL NYLON
PDLEN01625	07	DESINFETANTE SANIFLOR SOFT BB 5L (1004405)
PDLEN01692	01	PASTILHA SANITARIA 40GR EUCALIPTO
PDLEN01692	07	PASTILHA SANITARIA 40GR EUCALIPTO
PDLEN01899	01	CAP ESGOTO 100MM
PDLEN01899	07	CAP ESGOTO 100MM
PDLEN02045	01	PAPEL HIGIENICO FD ROLAO 10CMX200M C 08 UN CELULOSE GRAMPEL
PDLEN02045	07	PAPEL HIGIENICO FD ROLAO 10CMX200M C 08 UN CELULOSE GRAMPEL
PDLEN02143	01	DETERGENTE HC CLORADO 5L RICCEL
PDLEN02143	07	DETERGENTE HC CLORADO 5L RICCEL
PDLEN02150	01	TOUCA AZUL P/ MOP 60 CM
PDLEN02150	07	TOUCA AZUL P/ MOP 60 CM
PDLEN02296	07	PULVERIZADOR MANUAL 1.5L VONDER
PDLEN02483	01	GUARDANAPO ASTORIA CHEF 22X22CM PCT C/50 FLS
PDLEN02483	07	GUARDANAPO ASTORIA CHEF 22X22CM PCT C/50 FLS
PDLEN02580	07	DETERGENTE CONCENTRADO GIRASSOL CLORADO5L
PDLEN02711	01	BOM AR FRESHMATIC AZUL CORAL 3996 KIT
PDLEN02711	07	BOM AR FRESHMATIC AZUL CORAL 3996 KIT
PDLEN02754	01	CLORO 5L
PDLEN02754	07	CLORO 5L
PDLEN02775	01	DETERGENTE NEUTRO 5L
PDLEN02775	07	DETERGENTE NEUTRO 5L
PDLEN02800	01	ROLO PLASTICO FILME 300MT
PDLEN02800	07	ROLO PLASTICO FILME 300MT
PLAEN00045	01	BOTAO DE EMERGENCIA TIPO  QUEBRE O
PLAEN00045	07	BOTAO DE EMERGENCIA TIPO  QUEBRE O
PLAEN00270	01	CAMISA OP POLO MASC AZUL MC GPS TEC TP
PLAEN00270	07	CAMISA OP POLO MASC AZUL MC GPS TEC TP
PLAES00379	07	SWITCH 3524 POE
POLES00046	01	FITA DUPLA FACE 3M
POLES00046	07	FITA DUPLA FACE 3M
POLES00124	07	LUVA LATEX SERV VERDE UNISSEX TM
POLES00126	07	LUVA LATEX SERV VERDE UNISSEX TG
POLES00128	07	LUVA LATEX SERV AMARELA UNISSEX TP
POLES00129	01	LUVA LATEX SERV AMARELA UNISSEX TG
POLES00129	07	LUVA LATEX SERV AMARELA UNISSEX TG
POLES00302	01	VASSOURA DE JARDIM PALHETAS LARGAS C 26 DENTES
POLES00302	07	VASSOURA DE JARDIM PALHETAS LARGAS C 26 DENTES
POLES00336	01	PANO DE PRATO
POLES00336	07	PANO DE PRATO
POLES00430	01	LIMPADOR MULTIUSO VEJA
POLES00430	07	LIMPADOR MULTIUSO VEJA
POLES00431	07	LIMPADOR MULTIUSO VEJA LIMPEZA PESADA
POLES00580	01	ELASTICO PCT DE 1 KG
POLES00580	07	ELASTICO PCT DE 1 KG
POLES00587	01	EXTRATOR DE GRAMPOS
POLES00587	07	EXTRATOR DE GRAMPOS
POLES00607	01	PASTA SUSPENSA
