Codigo	Armazem	Descricao
GERES99CSZ	07	ARROZ PARBOILIZADO
GERES99CT1	01	FEIJAO MACASSAR
GERES99CT1	07	FEIJAO MACASSAR
GERES99CT2	01	MUNGUZA
GERES99CT2	07	MUNGUZA
GERES99CT3	01	FAVA
GERES99CT3	07	FAVA
GERES99CT4	01	FARINHA DE TRIGO C/ FERMENTO
GERES99CT4	07	FARINHA DE TRIGO C/ FERMENTO
GERES99CT5	01	EMBALAGEM
GERES99CT5	07	EMBALAGEM
GERES99CT5	11	EMBALAGEM
GERES99CT6	07	SONHO DE VALSA AO LEITE 1,1 KG LACTEA
GERES99CTY	01	QUEIJO MUSSARELA
GERES99CTY	07	QUEIJO MUSSARELA
GERES99CUG	01	SAL REFINADO
GERES99CUG	07	SAL REFINADO
GERES99CUH	01	FEIJAO CARIOCA
GERES99CUH	07	FEIJAO CARIOCA
GERES99CUJ	01	FEIJAO PRETO
GERES99CUJ	07	FEIJAO PRETO
GERES99CUK	01	FARINHA DE MANDIOCA
GERES99CUK	07	FARINHA DE MANDIOCA
GERES99CUN	01	FARINHA DE TRIGO PCT 1 KG
GERES99CUN	07	FARINHA DE TRIGO PCT 1 KG
