codmat	dscmat	codund_mda_mat	vlrult_cot	saldo_oper
90563	CABO ALUM MULTIPLEX NI 0,6/1,0KV XLPE 3F 3X1X35MM2+35MM2	M	14,43	675,21
90562	CABO ALUM MULTIPLEX NI 0,6/1,0KV XLPE 3F 3X1X70MM2+70MM2	M	26,05	988,76
90259	CABO ALUM NU 1F CA/AAC 1/0AWG POPPY	KG	28,66	705,96
90702	CABO ALUM NU 1F CAL/AAAC6201 2AWG	KG	36,2	745,23
90705	CABO ALUM NU 1F CAL/AAAC6201 336,4MCM	KG	34,935	837
90704	CABO ALUM NU 1F CAL/AAAC6201 4/0AWG	KG	34,98	450
90262	CABO ALUM NU CAA/ASCR 1F 2AWG SPARROW	KG	25,6	2071,49
90264	CABO ALUM NU CAA/ASCR 1F 4/0AWG PENGUIN	KG	25,1067	3415
90625	CABO ALUM PROT DUP XLPE/HDPE 1F 15,0KV 120MM2 BLOQ CNZ	M	13,9	3172
90626	CABO ALUM PROT DUP XLPE/HDPE 1F 15,0KV 185MM2 BLOQ CNZ	M	19,09	4295
90624	CABO ALUM PROT DUP XLPE/HDPE 1F 15,0KV 50MM2 BLOQ CNZ	M	7,03	2179,83
90267	CABO ALUM PROT SPL XLPE 1F 15,0KV 120MM2 BLOQ CNZ	M	13,07	12340,5
90268	CABO ALUM PROT SPL XLPE 1F 15,0KV 185MM2 BLOQ CNZ	M	18,26	12412,5
90266	CABO ALUM PROT SPL XLPE 1F 15,0KV 50MM2 BLOQ CNZ	M	5,98	5278,55
91095	CABO COBRE POTENC SUBT 0,6/1,0KV PVC 1X6MM2 1F PRT	M	7,17	299,5
604909	CABO DE COBRE NU 70MM2	KG	95,93	58,8
91003	CAIXA MED BLIND METAL INDIVIDUAL CB-300 350X252X134MM	UN	169,77	2
62119	CAIXA P/FIXAR DISJUNTOR	PC	458	52
90416	CANTONEIRA AUXILIAR ABRT ACO-GALV 900X65X65MM 6,0MM 300DAN	UN	65,485	70
90969	CAPA PROT BORR SILIC PARA-RAIOS MT 15/36,2KV 70X97MM	UN	20,5948	80
90887	CAPA PROT CONECTOR CUNHA 15KV 131X80MM SERIE VERM	PC	12,2	380
90888	CAPA PROT CONECTOR CUNHA 15KV 166X100MM SERIE AZUL	PC	16,55	824
90968	CAPA PROTETORA TRANSF BT PEAD 1,2 KV 247X85X70MM 2X24MM	UN	11,3	4
90586	CAPA PROTETORA TRANSF MT PEAD 15/36,2KV 135X110MM	UN	10,3305	6
90487	CARTUCHO CONECTOR CUNHA METAL 14,8X5,7X7,0MM AZUL	UN	1,22	1589
90488	CARTUCHO CONECTOR CUNHA METAL 14,8X5,7X7,0MM VERMELHO	UN	1,22	125
90486	CARTUCHO CONECTOR CUNHA METAL 24,3X5,7X7,0MM AMARELO	UN	3,085	53
90518	CHAPA ESTAI ACO-GALV 76X60X70MM 8,0MM 5000DAN	UN	7,4767	1
90547	CHAVE FUSIVEL DISTR BSC 15KV 300A 1F MAN SEC	PC	224,5	28
90561	CHAVE FUSIVEL DISTR BSC 24,2KV 300A 1F MAN SEC	PC	259,5576	3
90545	CHAVE SECC DISTR BY-PASS 1F PORC 15KV 400A MAN SEC DIR	UN	1039,9112	3
90551	CHAVE SECC DISTR FACA 1F PORC 15KV 400A MAN SEC CENT	PC	453,93	33
618660	CINTA P/ POSTE CIRCULAR 440 MM	UN	48	11
90213	CINTA POSTE CIRCULAR ACO GALV 130MM 6MM 5000DAN	UN	15,2963	46
90215	CINTA POSTE CIRCULAR ACO GALV 160MM 6MM 5000DAN	UN	16,926	1
90218	CINTA POSTE CIRCULAR ACO GALV 190MM 6MM 5000DAN	UN	16,9029	4
90458	COBERTURA PROT GLV PEAD 325X220MM 36,2KV CNZ	UN	60,2926	3
90347	CONEC DERIV CUNHA-ESTRIBO ALUM/COBR 11,20-13,30MM/2AWG AZ	UN	36,78	195
90348	CONEC DERIV CUNHA-ESTRIBO ALUM/COBR 14,88-16,30MM/1/0AWG AM	UN	72,365	118
90345	CONEC DERIV CUNHA-ESTRIBO ALUM/COBR 5,88-8,01MM/2AWG VM	UN	29,56	158
90346	CONEC DERIV CUNHA-ESTRIBO ALUM/COBR 9,06-11,34MM/2AWG AZ	UN	36,185	133
90464	CONEC DERIV CUNHA-RML COBR A 5,60-9,36/2,25-5,10MM VL	UN	7,37	260
90819	CONEC DERIV CUNHA-RML COBR B 6,20-9,36/1,74-5,10MM LJA	UN	7,615	414
90465	CONEC DERIV CUNHA-RML COBR C 8,20-12,74/1,74-5,10MM MR	UN	8,16	20
90467	CONEC DERIV CUNHA-RML COBR G 5,60-8,33/1,36-1,73MM VL/AZ	UN	7,385	358
90468	CONEC DERIV CUNHA-RML COBR H 5,60-9,36/1,36-1,73MM LJ/AZ	UN	7,445	12
90471	CONEC DERIV CUNHA-RML COBR I 3,17-8,12/3,17-7,42MM CZ	UN	8,915	206
90472	CONEC DERIV CUNHA-RML COBR II 3,17-8,12/3,17-5,21MM VD	UN	4,56	398
90473	CONEC DERIV CUNHA-RML COBR III 2,54-6,55/1,27-4,65MM VM	UN	2,91	843
90474	CONEC DERIV CUNHA-RML COBR IV 2,54-6,55/1,27-4,65MM AZ	UN	2,81	1559
90469	CONEC DERIV CUNHA-RML COBR J 9,34-11,10/1,74-5,10MM MR/AZ	UN	7,78	141
90475	CONEC DERIV CUNHA-RML COBR V 2,54-4,93/1,27-4,65MM AM	UN	3,345	246
90491	CONEC TERM CPR CB/BAR RT RLD ALUM 1F 5,60-6,50MM 62X23MM	UN	2,99	633
