codmat	dscmat	codund_mda_mat	vlrult_cot	saldo_oper
90430	LUVA EMENDA COMPRES DISTR ALUM CA 1/0AWG 184MM	UN	10,355	46
90429	LUVA EMENDA COMPRES DISTR ALUM CA 2AWG 99MM	UN	4,985	221
90428	LUVA EMENDA COMPRES DISTR ALUM CA 4AWG 67MM	UN	3,73	337
90436	LUVA EMENDA COMPRES DISTR ALUM CAA 1/0AWG 435/120MM	UN	35,45	239
90437	LUVA EMENDA COMPRES DISTR ALUM CAA 2/0AWG 500/133MM	UN	45,33	19
90435	LUVA EMENDA COMPRES DISTR ALUM CAA 2AWG 370/114MM	UN	31,55	124
90439	LUVA EMENDA COMPRES DISTR ALUM CAA 336.4MCM 565/175MM	UN	144,73	21
90438	LUVA EMENDA COMPRES DISTR ALUM CAA 4/0AWG 480/130MM	UN	63,1	115
90434	LUVA EMENDA COMPRES DISTR ALUM CAA 4AWG 310/105MM	UN	13,78	296
90244	MANILHA DISTR TORCIDA ACO-GALV 90MM M16 50KN 90GR	UN	85,8	110
90440	MANILHA-SAPATILHA ACO-GALV 110X60X34MM 5000DAN	UN	12,15	1398
90442	MAO FRANCESA PERFILADA ACO GALV 1971X48MM 5MM 3000DAN	UN	84,2004	19
90445	MAO FRANCESA PLANA ACO GALV 1053X32MM 5MM 3000DAN	UN	21,1093	18
90444	MAO FRANCESA PLANA ACO GALV 726X32MM 5MM 3000DAN	PC	14,2881	1
90837	MASSA PARA CALAFETAR NA COR CINZA	KG	17,34	1864,9
42821	MEDIDOR C/M 30/200A 0,5% 240V	PC	759,07	26
3225	MEDIDOR ELETRON ENERGIA ATIV/REAT MONOF 120/240V 15A 2F 1E	PC	35,11	4
42829	MEDIDOR MONOF.EN.AT.120/240V.15A.2FIOS.S/M	PC	48,28	49
42825	MEDIDOR MONOF.EN.AT.240V.15A.2FIOS.S/M	PC	46,89	34
42840	MEDIDOR TRIF.EN.AT.120V 4FIOS	PC	152,37	2
42780	MEDIDOR TRIF.EN.ATIV/REAT 120/240V	PC	110,91	17
90446	OLHAL P/ PARAFUSO DISTR ACO-GALV 74X35MM 30X18MM 50KN	UN	8,7806	21
90374	PARAFUSO DISTR CAB ABAU ACO-GALV M16 150MM 5000DAN	UN	5,2664	175
90372	PARAFUSO DISTR CAB ABAU ACO-GALV M16 45MM 5000DAN	UN	2,943	630
90373	PARAFUSO DISTR CAB ABAU ACO-GALV M16 70MM 5000DAN	UN	3,4911	1604
90362	PARAFUSO DISTR CAB QUAD ACO-GALV M16 200MM 5000DAN	UN	5,8264	6
90363	PARAFUSO DISTR CAB QUAD ACO-GALV M16 250MM 5000DAN	UN	6,7618	108
90366	PARAFUSO DISTR CAB QUAD ACO-GALV M16 400MM 5000DAN	UN	9,1984	1
90376	PARAFUSO DISTR ROSC TOTAL ACO-GALV M16 250MM 5000DAN	UN	7,04	1081
90377	PARAFUSO DISTR ROSC TOTAL ACO-GALV M16 300MM 5000DAN	UN	9,23	419
90378	PARAFUSO DISTR ROSC TOTAL ACO-GALV M16 350MM 5000DAN	UN	8,7456	511
90379	PARAFUSO DISTR ROSC TOTAL ACO-GALV M16 400MM 5000DAN	UN	10,23	1043
90380	PARAFUSO DISTR ROSC TOTAL ACO-GALV M16 450MM 5000DAN	UN	10,5269	363
90382	PARAFUSO DISTR ROSC TOTAL ACO-GALV M16 500MM 5000DAN	UN	11,4622	153
90383	PARAFUSO DISTR ROSC TOTAL ACO-GALV M16 550MM 5000DAN	UN	12,6776	107
90384	PARAFUSO DISTR ROSC TOTAL ACO-GALV M16 600MM 5000DAN	UN	13,5057	39
90385	PARAFUSO DISTR ROSC TOTAL ACO-GALV M16 650MM 5000DAN	UN	15,0427	49
90386	PARAFUSO DISTR ROSC TOTAL ACO-GALV M16 700MM 5000DAN	UN	16,0733	9
90619	PARA-RAIOS DISTR BT POLIM 220V 10KA OX MT S/CENT RSC	UN	21,22	351
90208	PARA-RAIOS DISTR BT POLIM 220V 10KA OX MT S/CENT RSI	UN	18,06	59
90210	PARA-RAIOS DISTR MT POLIM 12KV 10KA OX ZN S/CENT S/FERR	UN	91,6452	429
90251	PINO ISOLADOR AUTOTRAVANTE ACO M20/M16 168,5MM	UN	8,0286	859
90252	PINO ISOLADOR AUTOTRAVANTE ACO M20/M16 85,0MM	UN	6,1818	31
90249	PINO ISOLADOR CRUZETA ACO M16 294X140X150MM 15KV	UN	16,7097	113
90280	PINO ISOLADOR CURTO ACO M16 190MM 15KV	UN	15,0288	1188
90247	PINO ISOLADOR TOPO ACO D25 389MM 15KV	UN	25,7889	168
90570	PLACA CONCRETO ESTAI/ESC PLANA 200X600MM 100MM 1600DAN CL2	PC	59,4467	178
90387	PORCA OLHAL STD SAE1045 GALV MG M16 78,0MM	UN	7,79	2110
90388	PORCA QUADR PESADA ACO-GALV M16 24X24X13MM 5000DAN	UN	0,8197	2788
645570	POSTE CONCR DUPL T 12M 2000DAN 440X602MM 200X266MM CL II	UN	8820,9	7
90186	POSTE DISTR CONCR CIRC 11M 600DAN 410MM 190MM CL2	PC	1817,19	1
90187	POSTE DISTR CONCR CIRC 12M 1000DAN 470MM 230MM CL2	PC	2529,3	2
90193	POSTE DISTR CONCR DT 10M 150DAN 200X280MM 100X120MM CL2	PC	579	52
90194	POSTE DISTR CONCR DT 10M 300DAN 310X420MM 110X140MM CL2	PC	878	27
91044	POSTE DISTR CONCR DT 10M 300DAN 310X420MM 110X140MM CL4	PC	1178,24	10
90195	POSTE DISTR CONCR DT 10M 600DAN 310X420MM 110X140MM CL2	PC	1287,1767	57
91045	POSTE DISTR CONCR DT 10M 600DAN 310X420MM 110X140MM CL4	PC	1703,47	4
90196	POSTE DISTR CONCR DT 11M 1000DAN 360X490MM 140X182MM CL2	PC	2049,26	63
90668	POSTE DISTR CONCR DT 11M 1000DAN 360X490MM 140X182MM CL4	PC	2076,03	38
90197	POSTE DISTR CONCR DT 11M 1500DAN 390X532MM 170X224MM CL2	PC	2707,99	12
91046	POSTE DISTR CONCR DT 11M 1500DAN 390X532MM 170X224MM CL4	PC	2628,56	7
90198	POSTE DISTR CONCR DT 11M 300DAN 330X448MM 110X140MM CL2	PC	895,2	73
90665	POSTE DISTR CONCR DT 11M 300DAN 330X448MM 110X140MM CL4	PC	1361,21	33
90199	POSTE DISTR CONCR DT 11M 600DAN 330X448MM 110X140MM CL2	PC	1417,89	70
90667	POSTE DISTR CONCR DT 11M 600DAN 330X448MM 110X140MM CL4	PC	1627,59	22
90200	POSTE DISTR CONCR DT 12M 1000DAN 380X518MM 140X182MM CL2	PC	2470,77	66
90671	POSTE DISTR CONCR DT 12M 1000DAN 380X518MM 140X182MM CL4	PC	2359,4	14
90201	POSTE DISTR CONCR DT 12M 1500DAN 410X560MM 170X224MM CL2	PC	3207,06	30
91047	POSTE DISTR CONCR DT 12M 1500DAN 410X560MM 170X224MM CL4	PC	2952,86	3
90202	POSTE DISTR CONCR DT 12M 300DAN 350X476MM 110X140MM CL2	PC	1273,5267	93
90669	POSTE DISTR CONCR DT 12M 300DAN 350X476MM 110X140MM CL4	PC	1553,38	25
90203	POSTE DISTR CONCR DT 12M 600DAN 350X476MM 110X140MM CL2	PC	1590	85
90670	POSTE DISTR CONCR DT 12M 600DAN 350X476MM 110X140MM CL4	PC	1853,07	11
90204	POSTE DISTR CONCR DT 13M 1000DAN 400X546MM 140X182MM CL2	PC	2819,64	12
90205	POSTE DISTR CONCR DT 13M 1500DAN 430X588MM 170X224MM CL2	PC	3744,73	14
90206	POSTE DISTR CONCR DT 13M 600DAN 370X504MM 110X140MM CL2	PC	1870,61	12
690288	POSTE DISTR CONCR DT 14M 1000DAN 420X574MM 140X182MM CL2	PC	4554	1
692898	POSTE DISTR CONCR DT 14M 600DAN 390X532MM 110X140MM CL2	UN	8820,9	2
30320	RELE FOTOELETRON. 105-305V NA	PC	19,3978	6
616033	RELE SINCRONISMO CONTR TENSAO ELETRON 108-128V	UN	25000	1
690001	RELIGADOR AUTO EXT 3F LIN VAC 15KV 630A 12,5KA 127VCA	PC	20707,2	4
90409	SAPATILHA DISTRIBUICAO ACO-GALV 9,5MM 3/8POL 3160DAN	UN	1,04	621
90954	SECCIONADOR PREF ACO-GALV 2,60-3,00MM 800MM 900DAN AMR	UN	7,3306	69
90584	SECCIONADOR PREF ACO-GALV 3,26-4,11MM 650MM 450DAN VRD	UN	3,83	520
690290	SECCIONALIZADOR AUTOM BSC 1F 11,4/13,8KV 200A 4,0KA 4OPER	UN	1840,68	3
90411	SELA CRUZETA ACO-GALV TIPO R/Q 116X110X3,0MM	UN	8,6207	11
400100	SUCATA ALUMINIO	KG	0,01	0
400089	SUCATA CABO ACO	KG	0,01	0
400036	SUCATA CABO ALUMINIO COM ALMA	KG	0,01	0
400039	SUCATA CABO ALUMINIO ISOLADO	KG	0,01	0
400099	SUCATA CABO ALUMINIO NU CAA	KG	5,69	0
400012	SUCATA CHAVE, ISOLAD, PARARAIO	KG	0,01	0
400063	SUCATA CHAVES ELETRICAS DIV	KG	0,01	0
400041	SUCATA CRUZETA DE CONCRETO	PC	0,01	0
400085	SUCATA CRUZETA POLIMERICA	PC	0,01	0
400001	SUCATA DE CABO ALUMINIO S/ALMA	KG	0,01	0
400002	SUCATA DE CABO DE ACO	KG	0,01	0
400015	SUCATA DE CHAVE SECCIONADORA	KG	0,01	0
400026	SUCATA DE COBRE ISOLADO	KG	0,01	0
400024	SUCATA DE COBRE NU PONTAS	KG	1	0
400003	SUCATA DE COBRE NU ROLOS	KG	3,01	0
400055	SUCATA DE CONECTOR	KG	0,01	0
400004	SUCATA DE FERRO	KG	0,3	0
400053	SUCATA DE PECAS DE ACO	KG	0,01	0
400022	SUCATA DE POLIMERICOS	KG	1	0
400034	SUCATA DE POSTE CONCRETO DT 	PC	0,01	0
400032	SUCATA DE POSTE DE CONCRETO RC	PC	0,01	0
400005	SUCATA DE TRILHOS	KG	0,1	0
400064	SUCATA ELO FUS/CARTUCHO DIV	KG	0,01	0
400090	SUCATA FERRO RESIDUO KG	KG	26,39	0
400069	SUCATA FIO MAGNETICO NU	KG	0,01	0
400094	SUCATA FIOS CABOS CU ISOL	KG	1	0
400072	SUCATA MATERIAIS DE CONCRETO DIVERSOS	PC	0,01	0
400037	SUCATA PECAS DE ALUMINIO	KG	0,01	0
400010	SUCATA PECAS DE COBRE	KG	4	0
400047	SUCATA TRANSFORM. C/ NUCLEO	PC	1	0
90801	SUPORTE CHAVE INCL ACO-GALV 30GR 220X235X80MM 400DAN	UN	52,2281	26
90426	SUPORTE EQUIP CIRC SMP ACO-GALV 220MM 360X76X8MM 3000DAN	UN	98,4931	30
90524	SUPORTE ISOLADOR PILAR ACO-GALV 15KV 305X90X35MM 210DAN	UN	42,26	37
690403	SUPORTE P/ TRANSFORMADOR POTENCIA DE RELIGADOR DE LINHA	PC	297	11
90833	SUPORTE P/CHAVE BY-PASS 15/36,2KV 300X320MM 200DAN	UN	118,1254	3
90522	SUPORTE TIPO L CRUZETA ACO-GALV 205X85X38X8MM 200DAN	UN	20,2431	352
90521	SUPORTE TIPO L POSTE ACO-GALV 15KV 295X195X50MM 200DAN	UN	33,02	8
90423	SUPORTE TRANSF ESP PST DT ACO GALV 360X76X10MM 3000DAN	UN	31,52	157
115100	TD 13,8KV-380/220V 10KVA 3F CV	PC	1358	0
115123	TD 13,8KV-440/220V 15KVA 2F CV	PC	5800	0
115223	TD 7,96KV-400/231V 5KVA 1F	PC	500	0
115921	TRANF. DIST.  AEREO 7,96KV 220V 15KVA MONO CONVENC	PC	500	0
118445	TRANSF DISTR AER OMI 1F 7,967KV 242/231V 10KVA 1TP	UN	500	0
90606	TRANSF DISTR AER OMI 1F 7,969KV 230V 15KVA CL2 5TP	UN	5710,64	0
90607	TRANSF DISTR AER OMI 1F 7,969KV 230V 25KVA CL2 5TP	UN	8663,77	0
90101	TRANSF DISTR AER OMI 1F 7,969KV 440/220V 5KVA CL2 5TP	UN	1501,17	0
118446	TRANSF DISTR AER OMI 1F 7,96KV 231/242V 15KVA	UN	500	0
90056	TRANSF DISTR AER OMI 3F 13,8KV 380/220V 112,5KVA CL2 4TP	UN	21971,04	0
90813	TRANSF DISTR AER OMI 3F 13,8KV 380/220V 112,5KVA CL4 4TP	UN	22658,995	0
90057	TRANSF DISTR AER OMI 3F 13,8KV 380/220V 150KVA CL2 4TP	UN	26558,62	1
90814	TRANSF DISTR AER OMI 3F 13,8KV 380/220V 150KVA CL4 4TP	UN	27504,41	0
90815	TRANSF DISTR AER OMI 3F 13,8KV 380/220V 225KVA CL4 4TP	UN	38503,585	0
90061	TRANSF DISTR AER OMI 3F 13,8KV 380/220V 30KVA CL2 4TP	UN	11537,355	0
90062	TRANSF DISTR AER OMI 3F 13,8KV 380/220V 45KVA CL2 4TP	UN	13226,045	5
90811	TRANSF DISTR AER OMI 3F 13,8KV 380/220V 45KVA CL4 4TP	UN	13530,58	1
90063	TRANSF DISTR AER OMI 3F 13,8KV 380/220V 75KVA CL2 4TP	UN	16102,355	5
91085	TRANSF DISTR AER OVI 3F 13,8KV 380/220V 112,5KVA CL2 4TP	UN	23219,2	6
91154	TRANSF DISTR AER OVI 3F 13,8KV 380/220V 112,5KVA CL4 4TP	UN	21788,7533	4
91123	TRANSF DISTR AER OVI 3F 13,8KV 380/220V 150KVA CL2 4TP	UN	25469,3033	2
91125	TRANSF DISTR AER OVI 3F 13,8KV 380/220V 300KVA CL2 4TP	UN	38879,95	3
91157	TRANSF DISTR AER OVI 3F 13,8KV 380/220V 300KVA CL4 4TP	UN	39450,7433	0
91121	TRANSF DISTR AER OVI 3F 13,8KV 380/220V 30KVA CL2 4TP	UN	11197,22	8
91151	TRANSF DISTR AER OVI 3F 13,8KV 380/220V 30KVA CL4 4TP	UN	12426,8267	1
91152	TRANSF DISTR AER OVI 3F 13,8KV 380/220V 45KVA CL4 4TP	UN	14130,5733	1
91086	TRANSF DISTR AER OVI 3F 13,8KV 380/220V 75KVA CL2 4TP	UN	15614,08	11
91153	TRANSF DISTR AER OVI 3F 13,8KV 380/220V 75KVA CL4 4TP	UN	17120,9367	3
694556	TRANSF DISTR PEDEST RDL OVI 3F 13,8KV 380/220V 225KVA 4TP	UN	65000	1
617640	TRANSF POT IND 15KV 13,8KV/230V 1KVA EXT	PC	3854,14	1

